,Task,Start,Finish,Duration
53,Primary FPM1S1-configure.log 0,2023-01-10 12:37:46,2023-01-10 12:39:14,Duration: 0:01:28
54,Primary FPM1S1-commissioning.log 0,2023-01-10 12:39:14,2023-01-10 12:42:04,Duration: 0:02:50
55,Primary SES2S1-commissioning.log 0,2023-01-10 12:39:26,2023-01-10 12:51:27,Duration: 0:12:01
56,Primary SES1S1-commissioning.log 0,2023-01-10 12:39:27,2023-01-10 12:53:29,Duration: 0:14:02
57,Primary Mop Apply 5,2023-01-10 12:56:09,2023-01-10 12:56:29,Duration: 0:00:20
58,"Primary Upgrade 'SES1S1', 'EM1S1', 'SES2S1', 'DB1S1', 'FPM1S1' post-check 0",2023-01-10 12:56:39,2023-01-10 12:57:30,Duration: 0:00:51
59,"Primary Upgrade 'SES1S1', 'EM1S1', 'SES2S1', 'DB1S1', 'FPM1S1' post-actions 0",2023-01-10 12:57:42,2023-01-10 13:27:52,Duration: 0:30:10
60,Primary Update VNFR 2,2023-01-10 13:29:26,2023-01-10 13:32:15,Duration: 0:02:49
61,Primary Post Start 1,2023-01-10 13:32:24,2023-01-10 13:35:01,Duration: 0:02:37
62,Primary Check VM and Inconsistencies 4,2023-01-11 03:04:07,2023-01-11 03:06:34,Duration: 0:02:27
63,Secondary Upgrade Side Failed 1,2023-01-11 03:06:40,2023-01-11 04:27:26,Duration: 1:20:46
64,Secondary Check VM and Inconsistencies 5,2023-01-11 03:06:40,2023-01-11 03:09:08,Duration: 0:02:28
65,Secondary Update VNFR 3,2023-01-11 03:09:18,2023-01-11 03:11:51,Duration: 0:02:33
66,Secondary Mop Apply 6,2023-01-11 03:12:38,2023-01-11 03:13:01,Duration: 0:00:23
67,Secondary Upgrade 'DB1S2' pre-check 0,2023-01-11 03:13:22,2023-01-11 03:15:12,Duration: 0:01:50
68,Secondary Upgrade 'DB1S2' pre-actions 0,2023-01-11 03:15:24,2023-01-11 03:24:04,Duration: 0:08:40
69,Secondary Get VNFR Logs 4,2023-01-11 03:25:07,2023-01-11 03:26:00,Duration: 0:00:53
70,Secondary Create cloud-init ISO DB1S2 0,2023-01-11 03:26:30,2023-01-11 03:26:53,Duration: 0:00:23
71,Secondary Image upload KVM 3,2023-01-11 03:28:04,2023-01-11 03:28:56,Duration: 0:00:52
72,Secondary VM Disk Replacement astl5-site2-host42-DB1S2 0,2023-01-11 03:28:58,2023-01-11 03:30:30,Duration: 0:01:32
73,Secondary Mop Apply 7,2023-01-11 04:28:20,2023-01-11 04:28:36,Duration: 0:00:16
74,Secondary Upgrade Side Repair 1,2023-01-12 02:30:35,2023-01-12 03:06:33,Duration: 0:35:58
75,Secondary Create cloud-init ISO None 1,2023-01-12 02:30:41,2023-01-12 02:31:34,Duration: 0:00:53
76,Secondary QCOW transfer for all VM 1,2023-01-12 02:31:46,2023-01-12 02:32:41,Duration: 0:00:55
77,Secondary Image upload KVM 4,2023-01-12 02:31:48,2023-01-12 02:32:40,Duration: 0:00:52
78,Secondary Image upload KVM 5,2023-01-12 02:32:46,2023-01-12 02:33:25,Duration: 0:00:39
79,Secondary Post Start 2,2023-01-12 02:34:05,2023-01-12 03:06:33,Duration: 0:32:28
80,Secondary Check VM and Inconsistencies 6,2023-01-12 04:45:17,2023-01-12 04:47:47,Duration: 0:02:30
81,Secondary Upgrade Side 1,2023-01-12 04:47:53,2023-01-12 07:22:06,Duration: 2:34:13
82,Secondary Check VM and Inconsistencies 7,2023-01-12 04:47:53,2023-01-12 04:50:20,Duration: 0:02:27
83,Secondary Update VNFR 4,2023-01-12 04:50:31,2023-01-12 04:53:18,Duration: 0:02:47
84,Secondary Mop Apply 8,2023-01-12 04:53:34,2023-01-12 04:53:56,Duration: 0:00:22
85,Secondary Upgrade 'DB1S2' pre-check2 0,2023-01-12 04:54:17,2023-01-12 04:56:05,Duration: 0:01:48
86,Secondary Upgrade 'DB1S2' pre-actions3 0,2023-01-12 04:56:16,2023-01-12 05:04:54,Duration: 0:08:38
87,Secondary Get VNFR Logs 5,2023-01-12 05:06:01,2023-01-12 05:09:57,Duration: 0:03:56
88,Secondary Create cloud-init ISO DB1S2 1,2023-01-12 05:10:28,2023-01-12 05:10:51,Duration: 0:00:23
89,Secondary VM Disk Replacement astl5-site2-host42-DB1S2 1,2023-01-12 05:12:05,2023-01-12 05:13:36,Duration: 0:01:31
90,Secondary DB1S2-configure.log 0,2023-01-12 05:14:29,2023-01-12 05:15:49,Duration: 0:01:20
91,Secondary DB1S2-commissioning.log 0,2023-01-12 05:15:50,2023-01-12 05:52:38,Duration: 0:36:48
92,Secondary Mop Apply 9,2023-01-12 05:54:34,2023-01-12 05:54:55,Duration: 0:00:21
93,Secondary Upgrade 'DB1S2' post-check 0,2023-01-12 05:55:06,2023-01-12 05:55:58,Duration: 0:00:52
94,Secondary Upgrade 'DB1S2' post-actions 0,2023-01-12 05:56:09,2023-01-12 05:59:25,Duration: 0:03:16
95,Secondary Upgrade 'EM1S2' pre-check 0,2023-01-12 05:59:46,2023-01-12 06:00:46,Duration: 0:01:00
96,Secondary Upgrade 'EM1S2' pre-actions 0,2023-01-12 06:00:57,2023-01-12 06:04:34,Duration: 0:03:37
97,Secondary Get VNFR Logs 6,2023-01-12 06:06:10,2023-01-12 06:10:57,Duration: 0:04:47
98,Secondary Create cloud-init ISO EM1S2 0,2023-01-12 06:11:28,2023-01-12 06:11:51,Duration: 0:00:23
99,Secondary VM Disk Replacement astl5-site2-host42-EM1S2 0,2023-01-12 06:13:05,2023-01-12 06:14:29,Duration: 0:01:24
100,Secondary EM1S2-configure.log 0,2023-01-12 06:15:23,2023-01-12 06:16:46,Duration: 0:01:23
101,Secondary EM1S2-commissioning.log 0,2023-01-12 06:16:47,2023-01-12 06:24:41,Duration: 0:07:54
102,Secondary Mop Apply 10,2023-01-12 06:25:21,2023-01-12 06:25:49,Duration: 0:00:28
103,"Secondary Upgrade 'DB1S2', 'EM1S2' post-check 0",2023-01-12 06:26:00,2023-01-12 06:26:52,Duration: 0:00:52
104,"Secondary Upgrade 'DB1S2', 'EM1S2' post-actions 0",2023-01-12 06:27:03,2023-01-12 06:34:37,Duration: 0:07:34
105,"Secondary Upgrade 'SES2S2', 'SES1S2', 'FPM1S2' pre-check 0",2023-01-12 06:35:17,2023-01-12 06:36:19,Duration: 0:01:02
